State,"Winter_2017
Mites","Winter_2017
Parasites","Winter_2017
Diseases","Winter_2017
Pesticides","Winter_2017
Other","Winter_2017
Unknown","Spring_2017
Mites","Spring_2017
Parasites","Spring_2017
Diseases","Spring_2017
Pesticides","Spring_2017
Other","Spring_2017
Unknown","Summer_2017
Mites","Summer_2017
Parasites","Summer_2017
Diseases","Summer_2017
Pesticides","Summer_2017
Other","Summer_2017
Unknown","Fall_2017
Mites","Fall_2017
Parasites","Fall_2017
Diseases","Fall_2017
Pesticides","Fall_2017
Other","Fall_2017
Unknown"
Kentucky,31.9,11.5,0.4,3.8,16.0,7.5,25.7,11.6,1,4.5,4.3,4.9,46.4,39.2,4.6,0.6,10.3,6.2,54.3,24.4,0.5,6.5,5.6,19.1
Louisiana,25.8,9.6,0.1,1.8,4.3,1.8,23.2,3.1,0,1.6,1.5,0.7,59.2,74.5,0.3,1.6,4.0,14.9,31.5,26.6,0.3,0.6,2.1,10.4
Maine,23.9,20.9,30.5,8.1,26.3,0,4.4,4.3,4.1,4.3,2.0,14.8,3.4,0.9,0.9,3.9,1.2,0.1,24.9,6.2,0.4,0,0.6,0
Maryland,11.3,3.3,1,1,11.9,4.3,3.3,6.9,0.8,0.3,2.1,1.1,8.8,10.1,0.7,1.6,5.1,9.1,7.9,3.1,0.2,1.1,1.8,7.8
Massachusetts,32.5,5.6,3,4.5,10.5,5.6,14.8,12.5,12.9,11,0.4,1.6,82.0,0.9,0.7,2.3,0.8,0.1,13.2,1.2,6.7,2.7,1.5,0.3
Michigan,7.9,0.3,0,1.9,1.1,3.9,19.1,7.2,0.2,2.1,0.9,0.5,56.8,11.9,8.6,13.7,15.0,2.9,53.8,13.6,5.3,23.6,1.5,2
Minnesota,2.1,0.4,0.1,0.9,9.0,5.8,20.5,4.7,2.3,12.8,6.6,2.2,39.8,4.7,1.8,9.4,11.6,2.3,62.9,4.0,4.2,39.8,7.2,3.1
Mississippi,41.7,35.3,0,0.1,0.5,1.4,14.0,0.9,0,1.7,3.7,0.8,71.1,4.8,0.7,0.2,18.1,0.7,19.3,6.1,1.4,1.5,1.5,4.1
Missouri,16.6,15.4,0.5,2.7,5.4,5.2,13.4,8.9,3,1,5.1,1.9,77.7,36.0,2.8,34,1.6,35,16.7,14.2,1,0.1,4.2,1.6
Montana,34.0,15.1,0,2.5,6.0,0.1,20.0,4.0,4.2,3.5,4.4,0.6,42.3,6.7,6.9,2.2,19.1,2,54.2,4.1,3.1,5.9,5.3,4.1
Nebraska,14.8,0.3,0.4,0,2.1,1.2,50.1,38.4,1,37.6,16.0,0.8,15.1,6.6,0.4,7.1,9.2,0.2,26.6,3.3,4.1,2.1,4.3,11.5
New Jersey,16.3,0.7,0.3,0.1,0.8,0.6,21.4,5.6,2.3,1.9,0.3,0.8,10.7,2.9,0,0.8,0.4,1.9,18.9,6.8,4.4,4.4,3.3,0
New Mexico,93.9,0,87.4,0,2.0,0,88.4,0.6,72.9,0,35.6,0.6,74.3,3.3,17.8,13.6,3.1,0.3,86.1,0.3,0,10.3,10,1
New York,20.4,9.4,9.8,4.4,13.2,10.8,22.2,2.1,2.1,2,8.9,0.1,45.1,19.8,6.2,9.4,13.6,1.8,22.3,12.7,8,5.4,0.4,2.6
North Carolina,34.7,17.4,0.2,1.5,7.2,3.9,23.4,5.5,2.3,0.8,5.1,1.5,74.5,36.1,3.3,20.3,7.6,1.8,64.2,16.3,3.9,1.5,11.7,6.7
North Dakota,0.8,0,0,0,0.2,0.2,29.3,4.0,3.2,5.3,3.2,1,42.0,11.9,3.4,8.1,8.1,1.9,41.7,16.5,0.2,0.5,0.9,0.3
Ohio,25.8,11.6,0.6,0.1,5.2,16.5,45.5,6.4,6.2,10.4,16.6,3,51.5,19.1,4.7,6.7,11.7,7,45.3,23.3,7.1,6.4,8.4,2.9
Oklahoma,11.9,1,0,0.1,0.5,0.3,23.6,2.3,11.2,0.5,7.7,0.3,22.0,23.0,10,3.8,4.7,2,1.0,0.5,0,0,0,0.2
Oregon,28.7,8.5,10.1,9.1,15.4,8.5,37.2,10.6,8.8,3.5,15.8,11.3,54.4,10.6,11.3,13.2,6.4,1.8,50.6,23.3,28,14.2,3.9,1.8
Pennsylvania,20.9,2.4,0.8,2.9,3.6,7.2,13.5,1.0,0.7,1.5,2.4,1.5,41.4,5.7,2.7,3.7,2.2,0.9,44.7,5.4,1,6.9,2.9,2.3
South Carolina,12.6,5.3,0.4,1.1,2.7,1.8,24.3,21.7,15.1,18.5,4.1,0.4,26.4,11.8,0.2,3,5.2,0.8,31.6,19.4,14.6,0.2,1.9,1.9
South Dakota,2.9,0,0,0,0.2,0.3,8.7,1.4,1,6.4,5.0,3.6,47.4,13.4,5,10.1,27.0,2.5,17.3,0.1,4.1,4.4,7.5,2.7
Tennessee,28.6,12.6,0.9,2.4,8.1,7,53.4,25.5,1,3.1,10.6,3.9,42.8,22.1,2.1,6,5.3,6.9,22.8,18.9,0.2,2,7.5,15.3
Texas,36.2,22.5,2,5.1,3.5,3.6,28.7,16.8,1.5,12.4,2.8,1.4,33.7,23.0,0.1,24,18.3,1.5,33.9,21.4,7.1,2.9,3.8,5.2
Utah,38.7,0,0.1,0,2.0,0.3,36.7,1.3,0.3,0.1,12.6,0,40.5,0.1,0.5,16.7,15.9,9.1,24.3,8.9,11,9.2,9.4,19.8
Vermont,6.0,0.7,2.1,0.2,0.9,2.2,3.3,0.3,0.3,0,0.2,0.5,16.8,9.0,4.7,0,7.0,0.7,96.6,44.5,22.1,55.2,5.7,1.8
Virginia,21.4,12.8,2.8,3.2,7.4,8.4,18.7,18.0,0.9,5,1.8,4.8,50.3,26.5,1.5,0.5,4.4,1.6,20.9,20.6,1.3,7.5,6.9,3.9
Washington,6.8,0.1,0,0,8.0,4.4,21.3,5.0,4.2,7.5,3.6,0.4,23.7,2.7,2,1.2,0.7,2.4,21.7,6.0,0,0.3,0.4,0.2
West Virginia,15.8,1,0.2,0,11.9,1.3,11.6,1.6,1.8,0.4,3.7,1.6,23.2,6.2,1.4,0.6,9.5,3.8,60.1,5.3,2.4,0.1,7.8,3.6
Wisconsin,19.0,1.9,1.1,2,4.0,10.5,13.8,1.7,1.7,2.2,3.2,0.3,61.6,21.0,18.5,21.8,13.0,12.1,53.1,36.9,33.1,22.8,15.3,15.2
Wyoming,0.2,0,0.2,0,0.6,0,34.1,3.5,12.6,2.8,5.7,1.9,21.8,1.6,9.3,4.4,5.6,5.2,38.0,2.4,8.4,5.9,8.1,0.6
