,State,"Winter_2015
No_of_colonies","Winter_2015
Lost","Winter_2015
Per_lost","Winter_2015
Added","Winter_2015
Renovated","Winter_2015
Per_renovated","Spring_2015
No_of_colonies","Spring_2015
Lost","Spring_2015
Per_lost","Spring_2015
Added","Spring_2015
Renovated","Spring_2015
Per_renovated","Summer_2015
No_of_colonies","Summer_2015
Lost","Summer_2015
Per_lost","Summer_2015
Added","Summer_2015
Renovated","Summer_2015
Per_renovated","Fall_2015
No_of_colonies","Fall_2015
Lost","Fall_2015
Per_lost","Fall_2015
Added","Fall_2015
Renovated","Fall_2015
Per_renovated"
21,Mississippi,34000,8500,11,22000,7500,10,89000,11000,12,5500,10000,11,23000,3500,10,260,110,0,31000,1500,4,500,230,1
22,Missouri,12000,2000,15,220,910,7,11500,500,4,1900,1800,14,14000,1200,9,700,630,5,13500,690,5,30,40,0
23,Montana,8500,2200,6,1400,1100,3,36000,4200,2,14000,33000,16,140000,10500,7,3200,10000,6,116000,10000,8,1000,80,0
24,Nebraska,10000,2600,8,120,310,1,29000,4100,6,15500,4600,7,67000,6000,8,500,6000,8,72000,7000,10,10,5500,8
25,New Jersey,6000,1100,12,570,1600,18,8500,1800,10,2100,2900,15,18500,210,1,190,500,3,8000,270,3,20,10,0
26,New Mexico,7000,690,10,190,600,9,6500,1000,12,1500,330,4,6500,1600,25,1300,650,10,6000,290,5,290,30,1
27,New York,27000,6500,22,430,950,3,24000,1100,3,11000,1500,4,44000,6500,14,4400,7000,15,45000,4000,9,260,10,0
28,North Carolina,24000,7000,27,6000,690,3,19500,1800,8,5500,3300,14,24000,2900,12,2500,1100,5,22000,2200,10,510,70,0
29,North Dakota,57000,620,1,1800,530,0,121000,29000,6,39000,61000,14,460000,93000,19,11000,22000,4,230000,35000,13,2700,9000,3
30,Ohio,18000,10500,48,5000,3300,15,17500,2100,11,10000,6000,32,23000,1900,8,2300,880,4,19000,2400,13,200,140,1
31,Oklahoma,9500,6000,23,2600,260,1,25000,2200,8,5500,2200,8,19500,230,1,160,190,1,5000,650,7,290,60,1
32,Oregon,77000,6500,8,4300,2400,3,82000,5500,6,14500,9500,10,68000,8500,9,8000,21000,21,100000,8500,8,200,1400,1
33,Pennsylvania,14000,6500,31,360,0,0,15500,1600,8,8500,2600,14,25000,1800,7,1800,2400,10,22000,2500,11,1300,6500,28
34,South Carolina,17000,2700,15,2700,1400,8,17500,950,5,1100,2000,11,12000,2000,17,880,580,5,10000,2200,13,640,1000,6
35,South Dakota,50000,4600,5,8500,2800,3,100000,21000,7,27000,23000,8,295000,53000,18,2100,13000,4,194000,9000,4,2400,0,0
36,Tennessee,9500,2000,21,1000,190,2,7500,730,10,3600,920,12,10000,1200,12,500,350,4,8500,1100,11,70,420,4
37,Texas,191000,26000,10,82000,51000,20,305000,33000,11,76000,94000,30,76000,16500,12,5500,4800,4,125000,25000,10,13000,2000,1
38,Utah,6000,3300,14,2500,290,1,24000,3400,13,10000,3900,14,31000,8000,22,1400,2200,6,28000,1900,7,120,100,0
39,Vermont,5500,700,13,1200,20,0,6000,100,2,580,50,1,6000,40,1,30,20,0,6500,940,15,10,10,0
40,Virginia,8000,2500,28,800,460,5,7500,270,4,2100,430,6,8000,680,9,520,220,3,7500,750,10,0,350,5
41,Washington,52000,14000,13,13500,9000,9,105000,5000,4,15000,13000,10,84000,11500,12,1800,20000,21,87000,6500,7,330,170,0
42,West Virginia,4700,1800,30,570,60,1,4700,570,12,2900,590,13,7000,300,4,300,270,4,7000,610,9,190,140,2
43,Wisconsin,16500,8000,28,3100,2500,9,25000,4600,7,10000,5500,9,60000,9000,15,1300,4300,7,48000,6500,14,210,10,0
44,Wyoming,5500,2000,17,2000,1400,12,12000,3200,13,7500,5000,20,29000,2500,7,270,440,1,24000,1300,5,30,0,0
45,Other States 5/,3410,2080,23,870,150,2,8600,1940,17,4140,1960,18,12180,900,7,1050,700,6,11360,1630,13,100,50,0
46,United States,2824610,500020,18,546980,270530,10,2849500,352860,12,661860,692850,24,3132880,457100,15,172990,303070,10,2874760,412380,14,117150,158790,6
