,State,Jan_March_No_of_colonies,Jan_March_Max,Jan_March_Lost,Jan_March_Per_lost,Jan_March_Added,Jan_March_Renovated,Jan_March_Per_renovated,Jan_March_Mites,Jan_March_Parasites,Jan_March_Diseases,Jan_March_Pesticides,Jan_March_Other,Jan_March_Unknown,April_June_No_of_colonies,Max ,April_June_Lost,April_June_Per_lost,April_June_Added,April_June_Renovated,April_June_Per_renovated,April_June_Mites,April_June_Parasites,April_June_Diseases,April_June_Pesticides,April_June_Other,April_June_Unknown,July_Sep_No_of_colonies,July_Sep_Max,July_Sep_Lost,July_Sep_Per_lost,July_Sep_Added,July_Sep_Renovated,July_Sep_Per_renovated,July_Sep_Mites,July_Sep_Parasites,July_Sep_Diseases,July_Sep_Pesticides,July_Sep_Other,July_Sep_Unknown,Oct_Dec_No_of_colonies,Oct_Dec_Max,Oct_Dec_Lost,Oct_Dec_Per_lost,Oct_Dec_Added,Oct_Dec_Renovated,Oct_Dec_Per_renovated,Oct_Dec_Mites,Oct_Dec_Parasites,Oct_Dec_Diseases,Oct_Dec_Pesticides,Oct_Dec_Other,Oct_Dec_Unknown
10,Illinois,8500,9500,1400,15,860,40,0,12.4,6.4,0.3,2.6,4.6,8.6,9000,9000,740,8,2200,380,4,11.4,4.4,2,3.1,4.7,2.1,11000,11000,1300,12,850,310,3,17.4,7.9,0.7,4.3,2.9,1.6,9000,9000,720,8,0,0,0,27.8,11.7,1.2,5.6,3.9,4.8
11,Indiana,6500,6500,770,12,30,0,0,17.4,3.7,0.9,0.3,7.2,5.5,4300,7000,220,3,2700,900,13,12.5,2.9,0,2.1,2.8,4.3,9500,9500,600,6,450,550,6,50.4,12.4,1.2,0.6,2.5,1.2,7500,7500,1200,16,20,0,0,28.2,9.6,0.2,1.4,1.0,3.8
12,Iowa,13000,13000,2900,22,90,0,0,52.8,14.4,13.8,2.7,24.0,4.8,10500,26000,2400,9,26000,760,3,23.5,17.8,18.7,0.6,6.0,5.7,50000,50000,5500,11,10500,2400,5,32.6,3.4,0.8,16.7,2.4,5.6,54000,54000,4700,9,0,20,0,18.7,9.8,8.9,9,11.4,6.3
13,Kansas,5000,5000,1100,22,1400,100,2,30.3,10,0.1,1.1,2.4,5.4,4700,6000,960,16,3000,900,15,47.3,11.6,2.8,8.3,3.7,1.8,8000,8000,2600,33,310,190,2,42.8,25.5,14.1,29.1,4.5,2.6,5000,5000,1300,26,200,0,0,29.2,8.3,0.3,3.1,5.1,1.4
14,Kentucky,6500,6500,1300,20,390,40,1,23.6,9,0.7,6.3,12.5,8.4,5500,6000,450,8,2100,270,5,38.9,36.1,1.7,28.4,16.0,3.8,7500,7500,1000,13,900,230,3,42.3,25.7,0.9,11.5,7.4,4.5,7500,7500,950,13,60,80,1,48.2,22.3,3.3,3,10.3,5.7
15,Louisiana,54000,55000,11000,20,9500,2600,5,22.8,14.2,18.6,0.4,12.4,1.9,52000,53000,4300,8,10000,9500,18,20.7,1.1,0,0.3,1.2,0.6,51000,60000,7000,12,2600,2100,4,39.5,26.1,(Z),1.6,9.6,0.7,48000,57000,2000,4,250,340,1,2.9,1.0,1,0.1,0.7,1.2
16,Maine,2200,3700,170,5,0,0,0,3.3,0.4,0.3,-,0.8,1.4,3600,25000,4200,17,510,560,2,82.7,0,4.3,31.1,2.4,27.9,5500,5500,420,8,240,140,3,9.3,0.1,0.2,-,0.6,-,3500,3500,280,8,0,0,0,10.7,0.8,0.1,0,5.8,0.1
17,Maryland,7500,7500,820,11,1200,10,0,26.2,0.1,-,9.5,6.7,0.7,8000,9000,320,4,2800,400,4,4.2,2.3,2.4,2.9,3.3,0.6,7000,7000,200,3,400,20,(Z),10.8,4.8,0.1,0.7,0.6,1.6,7500,9500,500,5,20,30,0,23.8,8.3,4.5,4.6,5.8,0.6
18,Massachusetts,3000,3000,370,12,1200,140,5,10.1,5.2,0.7,-,3.1,1.1,4200,8500,300,4,1100,440,5,40.5,10.6,0.3,10.6,2.3,11.9,9500,9500,530,6,450,40,(Z),14.1,8.7,6.8,0.1,3.4,7.9,8000,8000,740,9,0,0,0,6.1,2.6,0.4,0.4,0.7,4.2
19,Michigan,25000,42000,5000,12,2300,80,0,5.9,0.2,(Z),0.5,1.3,11.3,40000,103000,7500,7,13500,3200,3,54.1,9.3,1.1,16.5,11.8,1.1,108000,108000,15000,14,11000,9500,9,64.1,25.1,0.3,9.1,6.5,2.7,101000,101000,12500,12,10,130,0,23.9,1.5,0.1,2.7,4.0,0.6
20,Minnesota,36000,38000,5500,14,6000,0,0,12.1,7,0.2,11.6,8.0,14.5,27000,126000,13000,10,24000,4200,3,20.8,6,6.5,18.2,8.6,7.6,132000,138000,26000,19,1300,1900,1,47.2,14.6,6.2,22.4,17.8,8.9,113000,114000,13500,12,0,0,0,27.5,7.7,3.1,17.6,5.0,8.9
21,Mississippi,21000,50000,7500,15,48000,25000,50,13.8,1.6,(Z),3.2,0.3,14.5,85000,90000,3700,4,9000,61000,68,12.3,2.3,1.2,2.7,1.2,0.1,19000,20000,3300,17,750,740,4,27.5,3.5,1.6,1.8,5,4.7,17500,30000,2400,8,330,60,0,21.9,6.0,0.1,0,2.1,2.8
22,Missouri,10000,10000,1300,13,5500,420,4,20.2,7,0.4,6.2,4.5,7.3,12000,12500,770,6,1800,730,6,17.2,1.6,0.7,0.1,1.6,1.2,13500,13500,650,5,480,170,1,13.3,7.7,1,0.1,3.1,0.7,9000,9000,590,7,1400,640,7,16.1,12.6,0.2,0,1.5,0.7
23,Montana,16500,65000,900,1,24000,0,0,0.6,(Z),-,0.5,0.1,-,62000,157000,7000,4,25000,13500,9,30.3,7.1,4.5,3.9,6.9,0.2,147000,158000,11500,7,4100,6500,4,41.9,8.8,7,6.9,6.1,1.4,124000,124000,16000,13,2700,0,0,59.1,39.4,32.9,13.7,33.3,33.1
24,Nebraska,11000,20000,720,4,510,0,0,1.8,0.4,0.1,0.2,0.8,0.6,19500,43000,6000,14,8000,28000,65,6.1,0.1,1,3.8,1.1,3.5,45000,47000,8500,18,390,27000,57,20.4,1.6,0.1,10.2,1.6,0.1,37000,37000,4300,12,190,0,0,10.5,1.4,0.2,1.2,0.4,1.5
25,New Jersey,6000,6000,1000,17,80,20,0,8,1.1,0.2,0.6,1.7,12,4200,18000,1500,8,1900,110,1,11.9,0.9,0.2,0,0.2,0.3,18000,18000,270,2,120,80,(Z),20.2,7.1,1.2,8.5,1.3,0.3,12000,12000,340,3,400,0,0,28.6,11.3,0.4,1.9,3.4,8.6
26,New Mexico,6000,6500,1700,26,1400,30,1,69,0.4,31.5,-,1.5,0.3,6500,6500,1400,22,2700,100,2,59.1,0.3,12.1,2.5,8.2,0,6500,6500,1100,17,2000,1000,15,59.5,55.4,55.2,24.1,1.7,0.7,7000,7000,1600,23,1100,20,0,46.2,0.3,7.2,0,0.8,0.3
27,New York,31000,33000,4200,13,970,600,2,27.5,5.9,1.5,7.6,9.5,2.6,31000,46000,4000,9,13500,1500,3,20.4,3.1,0.9,11.7,4.1,3.8,56000,56000,10000,18,1900,800,1,37.4,9.0,5.5,5.2,24.7,2.6,48000,49000,9000,18,240,130,0,27.8,2.2,3.6,12.5,2.2,2.1
28,North Carolina,18500,24000,2600,11,1100,230,1,9.5,2.5,1.9,2.7,4.0,2.4,23000,24000,1600,7,10000,550,2,51.8,23.5,4.7,33.8,8.3,41.7,25000,25000,1400,6,1400,1200,5,27.8,13.4,0.1,2.9,13.4,3,25000,25000,5500,22,220,50,0,24.0,7.7,1.8,0,12.5,1.3
29,North Dakota,89000,137000,8500,6,4600,0,0,2.7,-,-,-,0.1,11.7,110000,530000,27000,5,23000,95000,18,16.2,3.7,2.1,1.1,3.6,0.2,510000,550000,71000,13,25000,104000,19,38.0,11.8,6.3,12.9,9.9,3.1,385000,390000,44000,11,13500,2500,1,23.5,7.9,1.5,0.4,2.6,2.2
30,Ohio,16500,16500,2900,18,760,50,0,41.6,4.3,0.2,1.3,10.2,5.3,14000,16500,1700,10,6000,1100,7,10.6,2.2,0.6,18.3,2.9,1.4,21000,21000,1600,8,980,630,3,60.6,10.6,2.3,2.9,3.6,3.2,19500,19500,2100,11,20,140,1,42.0,18.1,0.8,4.2,11.2,10.9
31,Oklahoma,13500,13500,3300,24,4800,570,4,4.9,1.2,(Z),0.3,0.9,21,12000,13000,310,2,4000,10000,77,51.8,2.8,0.2,1.2,0.6,0.4,3700,3700,560,15,30,30,1,7.5,6.5,0.3,0.7,1.4,21.8,3100,44000,2700,6,120,30,0,4.9,0.5,0,0.1,0.1,0.7
32,Oregon,68000,92000,2900,3,3800,1300,1,20.4,15,5.3,(Z),2.4,0.3,77000,132000,4300,3,19000,16000,12,52.7,14.5,9.9,2.6,16.7,6,107000,112000,7500,7,2900,4300,4,52.9,18.5,12.5,9.6,5.1,1.5,98000,124000,9500,8,1500,1000,1,25.5,2.8,13,2.8,2.6,1.3
33,Pennsylvania,12500,12500,2900,23,480,170,1,44.8,4.3,0.3,3.8,5.5,4.6,11000,14000,1300,9,6500,1100,8,18.7,3.9,2.4,3.6,4.6,0.9,19000,22000,1300,6,680,780,4,27.3,7.7,1.6,4.3,2.8,1.2,21000,21000,3100,15,120,180,1,18.7,2.6,1,2.8,4.9,3.1
34,South Carolina,16500,16500,3500,21,3200,380,2,10.7,2.3,0.6,2,5.1,4.8,12500,13500,1300,10,2200,410,3,51.3,36.6,1,35.8,14.3,1.3,13000,13500,920,7,990,50,(Z),20.4,18.8,0.1,2.6,2.6,1.9,12000,17000,1300,8,760,370,2,29.0,27.1,23.3,24.6,25.9,1.9
35,South Dakota,47000,79000,10500,13,1600,0,0,0.2,(Z),(Z),-,0.5,0.3,51000,182000,11000,6,15000,13000,7,32.4,6.6,1.7,5.1,15.4,0.1,178000,191000,25000,13,4200,9500,5,48.8,19.5,14.2,22.7,4.6,2.8,146000,146000,11000,8,0,2400,2,48.9,5.3,0.3,6,1.0,0.3
36,Tennessee,9000,9000,1700,19,180,70,1,19.7,7.1,0.2,3.7,10.1,10.9,8000,8000,580,7,3900,200,3,40.9,22.7,0.1,0.4,9.1,2.6,10000,10000,950,10,340,290,3,22.5,23.1,1.3,2.4,6.2,2,9000,9000,840,9,120,10,0,19.9,21.6,0,1.1,2.2,3.1
37,Texas,240000,320000,30000,9,126000,49000,15,19.4,9.8,2.3,9.4,3.7,2.5,340000,350000,36000,10,74000,54000,15,26.1,9,7.5,2.4,7.4,3.7,129000,143000,12000,8,12500,810,1,47.2,11.4,1.7,31.4,3.7,4.1,136000,310000,39000,13,2200,650,0,33.1,17.5,3.2,3.6,2.8,1.4
38,Utah,12000,14500,1900,13,1400,50,0,26.2,7,0.1,0.4,1.6,0.5,14500,25000,4800,19,12000,7000,28,23.0,0.1,1.8,7.3,3.4,0.8,27000,33000,3200,10,1200,120,(Z),32.1,20.2,0.6,21.8,2.5,1.7,30000,30000,1600,5,440,50,0,26.4,0.1,0.2,0.9,0.7,0.3
39,Vermont,5500,5500,410,7,0,0,0,1.3,-,0.3,-,0.5,1.7,5000,6500,20,(Z),480,30,(Z),2.6,0.1,0.1,0,0.3,0.1,6500,6500,400,6,170,50,1,5.6,8.0,1.7,-,2.4,0.8,6500,6500,260,4,20,10,0,44.5,41.3,41.2,41,0.4,0
40,Virginia,6500,6500,1100,17,560,70,1,32.7,7.3,-,0.4,5.0,3.8,6000,6500,230,4,2200,480,7,23.1,4.2,6.8,6,7.3,2.9,8000,8000,810,10,460,360,5,39.1,24.1,1.1,2.3,5.3,3.6,7000,7000,730,10,230,10,0,31.4,19.9,2,0,1.8,5.1
41,Washington,77000,146000,13500,9,5500,1200,1,23.3,10.5,1.3,1.7,1.9,5.1,91000,143000,6000,4,21000,11500,8,40.9,11.4,3.3,3.1,11.1,0.6,57000,74000,5000,7,7500,2000,3,65.2,1.4,0.9,19.1,4.3,0.1,65000,97000,9000,9,3100,130,0,21.4,4.6,3.7,9.1,4.5,0.3
42,West Virginia,6500,8000,1700,21,0,0,0,21.9,2.9,1.1,0.6,6.9,6.5,7000,7000,990,14,2600,160,2,20.1,0.8,4.2,0,14.7,0.7,7500,7500,190,3,130,220,3,41.5,7.1,3.6,0.1,8.1,0.4,7500,7500,1000,13,80,60,1,23.8,2.3,1.1,1.1,4.3,2.8
43,Wisconsin,20000,21000,3100,15,530,0,0,24.2,1.6,1.1,13.4,10.8,10.4,18500,78000,5500,7,17500,3600,5,23.4,3.7,12.8,12.6,14.9,10.5,71000,75000,12000,16,880,640,1,31.5,13.6,10.8,15.8,5.1,11.1,59000,59000,7500,13,10,20,0,69.3,12.2,10,10.6,10.6,46.2
44,Wyoming,2700,6500,340,5,440,0,0,(Z),0.4,0.2,2.5,0.8,1.3,6500,27000,2600,10,7500,580,2,7.1,2.6,1.2,0.6,2.5,0.8,32000,40000,7000,18,1800,1000,3,38.6,3.1,0.5,2.6,3.4,0.3,25000,27000,2200,8,50,0,0,32.2,1.6,3.1,5.2,1.1,0
