State,"Winter_2016
Mites","Spring_2016
Mites","Summer_2016
Mites","Fall_2016
Mites",2016_mites,"Winter_2016
Parasites","Spring_2016
Parasites","Summer_2016
Parasites","Fall_2016
Parasites",2016_Parasites,"Winter_2016
Diseases","Spring_2016
Diseases","Summer_2016
Diseases","Fall_2016
Diseases",2016_Diseases,"Winter_2016
Pesticides","Spring_2016
Pesticides","Summer_2016
Pesticides","Fall_2016
Pesticides",2016_Pesticides,"Winter_2016
Other","Spring_2016
Other","Summer_2016
Other","Fall_2016
Other",2016_other,"Winter_2016
Unknown","Spring_2016
Unknown","Summer_2016
Unknown","Fall_2016
Unknown",2016_Unknown
Illinois,12.4,11.4,17.4,27.8,17.25,6.4,4.4,7.9,11.7,7.6,0.3,2,0.7,1.2,1.05,2.6,3.1,4.3,5.6,3.9,4.6,4.7,2.9,3.9,4.025,8.6,2.1,1.6,4.8,4.275
Indiana,17.4,12.5,50.4,28.2,27.125,3.7,2.9,12.4,9.6,7.15,0.9,0,1.2,0.2,0.575,0.3,2.1,0.6,1.4,1.1,7.2,2.8,2.5,1,3.375,5.5,4.3,1.2,3.8,3.7
Iowa,52.8,23.5,32.6,18.7,31.9,14.4,17.8,3.4,9.8,11.35,13.8,18.7,0.8,8.9,10.55,2.7,0.6,16.7,9,7.25,24,6,2.4,11.4,10.95,4.8,5.7,5.6,6.3,5.6
Kansas,30.3,47.3,42.8,29.2,37.4,10,11.6,25.5,8.3,13.85,0.1,2.8,14.1,0.3,4.325,1.1,8.3,29.1,3.1,10.4,2.4,3.7,4.5,5.1,3.925,5.4,1.8,2.6,1.4,2.8
Kentucky,23.6,38.9,42.3,48.2,38.25,9,36.1,25.7,22.3,23.275,0.7,1.7,0.9,3.3,1.65,6.3,28.4,11.5,3,12.3,12.5,16,7.4,10.3,11.55,8.4,3.8,4.5,5.7,5.6
Louisiana,22.8,20.7,39.5,2.9,21.475,14.2,1.1,26.1,1,10.6,18.6,0,0,1,4.9,0.4,0.3,1.6,0.1,0.6,12.4,1.2,9.6,0.7,5.975,1.9,0.6,0.7,1.2,1.1
Maine,3.3,82.7,9.3,10.7,26.5,0.4,0,0.1,0.8,0.325,0.3,4.3,0.2,0.1,1.225,0,31.1,0,0,7.775,0.8,2.4,0.6,5.8,2.4,1.4,27.9,0,0.1,7.35
Maryland,26.2,4.2,10.8,23.8,16.25,0.1,2.3,4.8,8.3,3.875,0,2.4,0.1,4.5,1.75,9.5,2.9,0.7,4.6,4.425,6.7,3.3,0.6,5.8,4.1,0.7,0.6,1.6,0.6,0.875
Massachusetts,10.1,40.5,14.1,6.1,17.7,5.2,10.6,8.7,2.6,6.775,0.7,0.3,6.8,0.4,2.05,0,10.6,0.1,0.4,2.775,3.1,2.3,3.4,0.7,2.375,1.1,11.9,7.9,4.2,6.275
Michigan,5.9,54.1,64.1,23.9,37,0.2,9.3,25.1,1.5,9.025,0,1.1,0.3,0.1,0.375,0.5,16.5,9.1,2.7,7.2,1.3,11.8,6.5,4,5.9,11.3,1.1,2.7,0.6,3.925
Minnesota,12.1,20.8,47.2,27.5,26.9,7,6,14.6,7.7,8.825,0.2,6.5,6.2,3.1,4,11.6,18.2,22.4,17.6,17.45,8,8.6,17.8,5,9.85,14.5,7.6,8.9,8.9,9.975
Mississippi,13.8,12.3,27.5,21.9,18.875,1.6,2.3,3.5,6,3.35,0,1.2,1.6,0.1,0.725,3.2,2.7,1.8,0,1.925,0.3,1.2,5,2.1,2.15,14.5,0.1,4.7,2.8,5.525
Missouri,20.2,17.2,13.3,16.1,16.7,7,1.6,7.7,12.6,7.225,0.4,0.7,1,0.2,0.575,6.2,0.1,0.1,0,1.6,4.5,1.6,3.1,1.5,2.675,7.3,1.2,0.7,0.7,2.475
Montana,0.6,30.3,41.9,59.1,32.975,0,7.1,8.8,39.4,13.825,0,4.5,7,32.9,11.1,0.5,3.9,6.9,13.7,6.25,0.1,6.9,6.1,33.3,11.6,0,0.2,1.4,33.1,8.675
Nebraska,1.8,6.1,20.4,10.5,9.7,0.4,0.1,1.6,1.4,0.875,0.1,1,0.1,0.2,0.35,0.2,3.8,10.2,1.2,3.85,0.8,1.1,1.6,0.4,0.975,0.6,3.5,0.1,1.5,1.425
New Jersey,8,11.9,20.2,28.6,17.175,1.1,0.9,7.1,11.3,5.1,0.2,0.2,1.2,0.4,0.5,0.6,0,8.5,1.9,2.75,1.7,0.2,1.3,3.4,1.65,12,0.3,0.3,8.6,5.3
New Mexico,69,59.1,59.5,46.2,58.45,0.4,0.3,55.4,0.3,14.1,31.5,12.1,55.2,7.2,26.5,0,2.5,24.1,0,6.65,1.5,8.2,1.7,0.8,3.05,0.3,0,0.7,0.3,0.325
New York,27.5,20.4,37.4,27.8,28.275,5.9,3.1,9,2.2,5.05,1.5,0.9,5.5,3.6,2.875,7.6,11.7,5.2,12.5,9.25,9.5,4.1,24.7,2.2,10.125,2.6,3.8,2.6,2.1,2.775
North Carolina,9.5,51.8,27.8,24,28.275,2.5,23.5,13.4,7.7,11.775,1.9,4.7,0.1,1.8,2.125,2.7,33.8,2.9,0,9.85,4,8.3,13.4,12.5,9.55,2.4,41.7,3,1.3,12.1
North Dakota,2.7,16.2,38,23.5,20.1,0,3.7,11.8,7.9,5.85,0,2.1,6.3,1.5,2.475,0,1.1,12.9,0.4,3.6,0.1,3.6,9.9,2.6,4.05,11.7,0.2,3.1,2.2,4.3
Ohio,41.6,10.6,60.6,42,38.7,4.3,2.2,10.6,18.1,8.8,0.2,0.6,2.3,0.8,0.975,1.3,18.3,2.9,4.2,6.675,10.2,2.9,3.6,11.2,6.975,5.3,1.4,3.2,10.9,5.2
Oklahoma,4.9,51.8,7.5,4.9,17.275,1.2,2.8,6.5,0.5,2.75,0,0.2,0.3,0,0.125,0.3,1.2,0.7,0.1,0.575,0.9,0.6,1.4,0.1,0.75,21,0.4,21.8,0.7,10.975
Oregon,20.4,52.7,52.9,25.5,37.875,15,14.5,18.5,2.8,12.7,5.3,9.9,12.5,13,10.175,0,2.6,9.6,2.8,3.75,2.4,16.7,5.1,2.6,6.7,0.3,6,1.5,1.3,2.275
Pennsylvania,44.8,18.7,27.3,18.7,27.375,4.3,3.9,7.7,2.6,4.625,0.3,2.4,1.6,1,1.325,3.8,3.6,4.3,2.8,3.625,5.5,4.6,2.8,4.9,4.45,4.6,0.9,1.2,3.1,2.45
South Carolina,10.7,51.3,20.4,29,27.85,2.3,36.6,18.8,27.1,21.2,0.6,1,0.1,23.3,6.25,2,35.8,2.6,24.6,16.25,5.1,14.3,2.6,25.9,11.975,4.8,1.3,1.9,1.9,2.475
South Dakota,0.2,32.4,48.8,48.9,32.575,0,6.6,19.5,5.3,7.85,0,1.7,14.2,0.3,4.05,0,5.1,22.7,6,8.45,0.5,15.4,4.6,1,5.375,0.3,0.1,2.8,0.3,0.875
Tennessee,19.7,40.9,22.5,19.9,25.75,7.1,22.7,23.1,21.6,18.625,0.2,0.1,1.3,0,0.4,3.7,0.4,2.4,1.1,1.9,10.1,9.1,6.2,2.2,6.9,10.9,2.6,2,3.1,4.65
Texas,19.4,26.1,47.2,33.1,31.45,9.8,9,11.4,17.5,11.925,2.3,7.5,1.7,3.2,3.675,9.4,2.4,31.4,3.6,11.7,3.7,7.4,3.7,2.8,4.4,2.5,3.7,4.1,1.4,2.925
Utah,26.2,23,32.1,26.4,26.925,7,0.1,20.2,0.1,6.85,0.1,1.8,0.6,0.2,0.675,0.4,7.3,21.8,0.9,7.6,1.6,3.4,2.5,0.7,2.05,0.5,0.8,1.7,0.3,0.825
Vermont,1.3,2.6,5.6,44.5,13.5,0,0.1,8,41.3,12.35,0.3,0.1,1.7,41.2,10.825,0,0,0,41,10.25,0.5,0.3,2.4,0.4,0.9,1.7,0.1,0.8,0,0.65
Virginia,32.7,23.1,39.1,31.4,31.575,7.3,4.2,24.1,19.9,13.875,0,6.8,1.1,2,2.475,0.4,6,2.3,0,2.175,5,7.3,5.3,1.8,4.85,3.8,2.9,3.6,5.1,3.85
Washington,23.3,40.9,65.2,21.4,37.7,10.5,11.4,1.4,4.6,6.975,1.3,3.3,0.9,3.7,2.3,1.7,3.1,19.1,9.1,8.25,1.9,11.1,4.3,4.5,5.45,5.1,0.6,0.1,0.3,1.525
West Virginia,21.9,20.1,41.5,23.8,26.825,2.9,0.8,7.1,2.3,3.275,1.1,4.2,3.6,1.1,2.5,0.6,0,0.1,1.1,0.45,6.9,14.7,8.1,4.3,8.5,6.5,0.7,0.4,2.8,2.6
Wisconsin,24.2,23.4,31.5,69.3,37.1,1.6,3.7,13.6,12.2,7.775,1.1,12.8,10.8,10,8.675,13.4,12.6,15.8,10.6,13.1,10.8,14.9,5.1,10.6,10.35,10.4,10.5,11.1,46.2,19.55
Wyoming,0,7.1,38.6,32.2,19.475,0.4,2.6,3.1,1.6,1.925,0.2,1.2,0.5,3.1,1.25,2.5,0.6,2.6,5.2,2.725,0.8,2.5,3.4,1.1,1.95,1.3,0.8,0.3,0,0.6
