State,"Winter_2017
Mites","Spring_2017
Mites","Summer_2017
Mites","Fall_2017
Mites",2017_Mites,"Winter_2017
Parasites","Spring_2017
Parasites","Summer_2017
Parasites","Fall_2017
Parasites",2017_Parasites,"Winter_2017
Diseases","Spring_2017
Diseases","Summer_2017
Diseases","Fall_2017
Diseases",2017_Diseases,"Winter_2017
Pesticides","Spring_2017
Pesticides","Summer_2017
Pesticides","Fall_2017
Pesticides",2017_Pesticides,"Winter_2017
Other","Spring_2017
Other","Summer_2017
Other","Fall_2017
Other",2017_Other,"Winter_2017
Unknown","Spring_2017
Unknown","Summer_2017
Unknown","Fall_2017
Unknown",2017_Unknown
Indiana,15.8,5.5,13.9,23.5,14.675,8,2.1,5.9,5.6,5.4,5.2,0.1,0.4,1.7,1.85,4.1,43.3,3.9,0.7,13,10.4,8.6,3.8,3.9,6.675,7.1,1.2,2,8,4.575
Iowa,33.6,39.3,17.2,61,37.775,8.3,27.6,7.2,25.5,17.15,8.4,7.5,2.4,12.3,7.65,12,26.6,3.9,32.6,18.775,11.9,8.1,4,17.9,10.475,11.7,0.9,2.2,5.5,5.075
Kansas,47.2,17.3,65.4,17.9,36.95,3,8.5,52.6,7.7,17.95,0,0.7,14.8,3.3,4.7,3.6,22.6,20.3,8.6,13.775,16.4,1.7,1.1,0.6,4.95,14.3,6.4,7.4,10.2,9.575
Kentucky,31.9,25.7,46.4,54.3,39.575,11.5,11.6,39.2,24.4,21.675,0.4,1,4.6,0.5,1.625,3.8,4.5,0.6,6.5,3.85,16,4.3,10.3,5.6,9.05,7.5,4.9,6.2,19.1,9.425
Louisiana,25.8,23.2,59.2,31.5,34.925,9.6,3.1,74.5,26.6,28.45,0.1,0,0.3,0.3,0.175,1.8,1.6,1.6,0.6,1.4,4.3,1.5,4,2.1,2.975,1.8,0.7,14.9,10.4,6.95
Maine,23.9,4.4,3.4,24.9,14.15,20.9,4.3,0.9,6.2,8.075,30.5,4.1,0.9,0.4,8.975,8.1,4.3,3.9,0,4.075,26.3,2,1.2,0.6,7.525,0,14.8,0.1,0,3.725
Maryland,11.3,3.3,8.8,7.9,7.825,3.3,6.9,10.1,3.1,5.85,1,0.8,0.7,0.2,0.675,1,0.3,1.6,1.1,1,11.9,2.1,5.1,1.8,5.225,4.3,1.1,9.1,7.8,5.575
Massachusetts,32.5,14.8,82,13.2,35.625,5.6,12.5,0.9,1.2,5.05,3,12.9,0.7,6.7,5.825,4.5,11,2.3,2.7,5.125,10.5,0.4,0.8,1.5,3.3,5.6,1.6,0.1,0.3,1.9
Michigan,7.9,19.1,56.8,53.8,34.4,0.3,7.2,11.9,13.6,8.25,0,0.2,8.6,5.3,3.525,1.9,2.1,13.7,23.6,10.325,1.1,0.9,15,1.5,4.625,3.9,0.5,2.9,2,2.325
Minnesota,2.1,20.5,39.8,62.9,31.325,0.4,4.7,4.7,4,3.45,0.1,2.3,1.8,4.2,2.1,0.9,12.8,9.4,39.8,15.725,9,6.6,11.6,7.2,8.6,5.8,2.2,2.3,3.1,3.35
Mississippi,41.7,14,71.1,19.3,36.525,35.3,0.9,4.8,6.1,11.775,0,0,0.7,1.4,0.525,0.1,1.7,0.2,1.5,0.875,0.5,3.7,18.1,1.5,5.95,1.4,0.8,0.7,4.1,1.75
Missouri,16.6,13.4,77.7,16.7,31.1,15.4,8.9,36,14.2,18.625,0.5,3,2.8,1,1.825,2.7,1,34,0.1,9.45,5.4,5.1,1.6,4.2,4.075,5.2,1.9,35,1.6,10.925
Montana,34,20,42.3,54.2,37.625,15.1,4,6.7,4.1,7.475,0,4.2,6.9,3.1,3.55,2.5,3.5,2.2,5.9,3.525,6,4.4,19.1,5.3,8.7,0.1,0.6,2,4.1,1.7
Nebraska,14.8,50.1,15.1,26.6,26.65,0.3,38.4,6.6,3.3,12.15,0.4,1,0.4,4.1,1.475,0,37.6,7.1,2.1,11.7,2.1,16,9.2,4.3,7.9,1.2,0.8,0.2,11.5,3.425
New Jersey,16.3,21.4,10.7,18.9,16.825,0.7,5.6,2.9,6.8,4,0.3,2.3,0,4.4,1.75,0.1,1.9,0.8,4.4,1.8,0.8,0.3,0.4,3.3,1.2,0.6,0.8,1.9,0,0.825
New Mexico,93.9,88.4,74.3,86.1,85.675,0,0.6,3.3,0.3,1.05,87.4,72.9,17.8,0,44.525,0,0,13.6,10.3,5.975,2,35.6,3.1,10,12.675,0,0.6,0.3,1,0.475
New York,20.4,22.2,45.1,22.3,27.5,9.4,2.1,19.8,12.7,11,9.8,2.1,6.2,8,6.525,4.4,2,9.4,5.4,5.3,13.2,8.9,13.6,0.4,9.025,10.8,0.1,1.8,2.6,3.825
North Carolina,34.7,23.4,74.5,64.2,49.2,17.4,5.5,36.1,16.3,18.825,0.2,2.3,3.3,3.9,2.425,1.5,0.8,20.3,1.5,6.025,7.2,5.1,7.6,11.7,7.9,3.9,1.5,1.8,6.7,3.475
North Dakota,0.8,29.3,42,41.7,28.45,0,4,11.9,16.5,8.1,0,3.2,3.4,0.2,1.7,0,5.3,8.1,0.5,3.475,0.2,3.2,8.1,0.9,3.1,0.2,1,1.9,0.3,0.85
Ohio,25.8,45.5,51.5,45.3,42.025,11.6,6.4,19.1,23.3,15.1,0.6,6.2,4.7,7.1,4.65,0.1,10.4,6.7,6.4,5.9,5.2,16.6,11.7,8.4,10.475,16.5,3,7,2.9,7.35
Oklahoma,11.9,23.6,22,1,14.625,1,2.3,23,0.5,6.7,0,11.2,10,0,5.3,0.1,0.5,3.8,0,1.1,0.5,7.7,4.7,0,3.225,0.3,0.3,2,0.2,0.7
Oregon,28.7,37.2,54.4,50.6,42.725,8.5,10.6,10.6,23.3,13.25,10.1,8.8,11.3,28,14.55,9.1,3.5,13.2,14.2,10,15.4,15.8,6.4,3.9,10.375,8.5,11.3,1.8,1.8,5.85
Pennsylvania,20.9,13.5,41.4,44.7,30.125,2.4,1,5.7,5.4,3.625,0.8,0.7,2.7,1,1.3,2.9,1.5,3.7,6.9,3.75,3.6,2.4,2.2,2.9,2.775,7.2,1.5,0.9,2.3,2.975
South Carolina,12.6,24.3,26.4,31.6,23.725,5.3,21.7,11.8,19.4,14.55,0.4,15.1,0.2,14.6,7.575,1.1,18.5,3,0.2,5.7,2.7,4.1,5.2,1.9,3.475,1.8,0.4,0.8,1.9,1.225
South Dakota,2.9,8.7,47.4,17.3,19.075,0,1.4,13.4,0.1,3.725,0,1,5,4.1,2.525,0,6.4,10.1,4.4,5.225,0.2,5,27,7.5,9.925,0.3,3.6,2.5,2.7,2.275
Tennessee,28.6,53.4,42.8,22.8,36.9,12.6,25.5,22.1,18.9,19.775,0.9,1,2.1,0.2,1.05,2.4,3.1,6,2,3.375,8.1,10.6,5.3,7.5,7.875,7,3.9,6.9,15.3,8.275
Texas,36.2,28.7,33.7,33.9,33.125,22.5,16.8,23,21.4,20.925,2,1.5,0.1,7.1,2.675,5.1,12.4,24,2.9,11.1,3.5,2.8,18.3,3.8,7.1,3.6,1.4,1.5,5.2,2.925
Utah,38.7,36.7,40.5,24.3,35.05,0,1.3,0.1,8.9,2.575,0.1,0.3,0.5,11,2.975,0,0.1,16.7,9.2,6.5,2,12.6,15.9,9.4,9.975,0.3,0,9.1,19.8,7.3
Vermont,6,3.3,16.8,96.6,30.675,0.7,0.3,9,44.5,13.625,2.1,0.3,4.7,22.1,7.3,0.2,0,0,55.2,13.85,0.9,0.2,7,5.7,3.45,2.2,0.5,0.7,1.8,1.3
Virginia,21.4,18.7,50.3,20.9,27.825,12.8,18,26.5,20.6,19.475,2.8,0.9,1.5,1.3,1.625,3.2,5,0.5,7.5,4.05,7.4,1.8,4.4,6.9,5.125,8.4,4.8,1.6,3.9,4.675
Washington,6.8,21.3,23.7,21.7,18.375,0.1,5,2.7,6,3.45,0,4.2,2,0,1.55,0,7.5,1.2,0.3,2.25,8,3.6,0.7,0.4,3.175,4.4,0.4,2.4,0.2,1.85
West Virginia,15.8,11.6,23.2,60.1,27.675,1,1.6,6.2,5.3,3.525,0.2,1.8,1.4,2.4,1.45,0,0.4,0.6,0.1,0.275,11.9,3.7,9.5,7.8,8.225,1.3,1.6,3.8,3.6,2.575
Wisconsin,19,13.8,61.6,53.1,36.875,1.9,1.7,21,36.9,15.375,1.1,1.7,18.5,33.1,13.6,2,2.2,21.8,22.8,12.2,4,3.2,13,15.3,8.875,10.5,0.3,12.1,15.2,9.525
Wyoming,0.2,34.1,21.8,38,23.525,0,3.5,1.6,2.4,1.875,0.2,12.6,9.3,8.4,7.625,0,2.8,4.4,5.9,3.275,0.6,5.7,5.6,8.1,5,0,1.9,5.2,0.6,1.925
United States Averages,25.40888889,26.78,41.13555556,38.15555556,32.87,8.104444444,7.955555556,14.46444444,13.80666667,11.08277778,4.997777778,5.104444444,3.895555556,6.335555556,5.083333333,3.031111111,7.14,8.606666667,9.202222222,6.995,6.288888889,6.331111111,8.384444444,5.684444444,6.672222222,4.68,2.622222222,4.564444444,5.122222222,4.247222222
