State,2015_Mites,2016_mites,2017_Mites,2018_Mites,Mites_average,2015_Parasites,2016_Parasites,2017_Parasites,2018_parasites,Parasites_average,2015_Diseases,2016_Diseases,2017_Diseases,2018_Diseases,Diseases_average,2015_Pesticides,2016_Pesticides,2017_Pesticides,2018_Pesticides,Pesticides_average,2015_Other,2016_other,2017_Other,2018_Other,Other_average,2015_Unknown,2016_Unknown,2017_Unknown,2018_Unknown,Unknown_average
Illinois,9.925,17.25,22.825,19.75,17.4375,4.025,7.6,10.45,9.55,7.90625,0.45,1.05,1.2,5.15,1.9625,1.05,3.9,4.35,5.05,3.5875,4.825,4.025,6.25,10.15,6.3125,4.525,4.275,4.425,6.65,4.96875
Indiana,16.225,27.125,14.675,56.15,28.54375,3.225,7.15,5.4,5.9,5.41875,4.575,0.575,1.85,1.7,2.175,2.275,1.1,13,2.5,4.71875,7.075,3.375,6.675,5.6,5.68125,5.9,3.7,4.575,2.4,4.14375
Iowa,29.575,31.9,37.775,9,27.0625,3.125,11.35,17.15,5.2,9.20625,2.05,10.55,7.65,0.6,5.2125,5.575,7.25,18.775,4.25,8.9625,12.775,10.95,10.475,4.5,9.675,2.525,5.6,5.075,0.85,3.5125
Kansas,28.525,37.4,36.95,52.9,38.94375,11.175,13.85,17.95,25.95,17.23125,0.6,4.325,4.7,1.15,2.69375,13.375,10.4,13.775,14.6,13.0375,15.425,3.925,4.95,15,9.825,7.25,2.8,9.575,5.35,6.24375
Kentucky,23.775,38.25,39.575,39.2,35.2,13.75,23.275,21.675,25.7,21.1,2.35,1.65,1.625,0.75,1.59375,5.15,12.3,3.85,6.05,6.8375,12.1,11.55,9.05,5.85,9.6375,4.875,5.6,9.425,6.1,6.5
Louisiana,22.6,21.475,34.925,6.5,21.375,2.925,10.6,28.45,3.3,11.31875,1.125,4.9,0.175,0.2,1.6,1.25,0.6,1.4,0.75,1,3.375,5.975,2.975,2.85,3.79375,0.75,1.1,6.95,1.45,2.5625
Maine,26.1,26.5,14.15,12.75,19.875,9.55,0.325,8.075,0.85,4.7,3.325,1.225,8.975,0.2,3.43125,8.625,7.775,4.075,0.9,5.34375,2.675,2.4,7.525,2.9,3.875,2.55,7.35,3.725,3.75,4.34375
Maryland,11.875,16.25,7.825,15,12.7375,6.05,3.875,5.85,4.5,5.06875,0.9,1.75,0.675,2.6,1.48125,6.325,4.425,1,0.9,3.1625,8.275,4.1,5.225,9.35,6.7375,5.05,0.875,5.575,1.75,3.3125
Massachusetts,34.5,17.7,35.625,12.7,25.13125,17.425,6.775,5.05,1.05,7.575,2.225,2.05,5.825,0.9,2.75,17.15,2.775,5.125,1.15,6.55,4.275,2.375,3.3,5.65,3.9,2.3,6.275,1.9,4.65,3.78125
Michigan,29,37,34.4,43.55,35.9875,9.125,9.025,8.25,10.1,9.125,2.25,0.375,3.525,5.85,3,7.125,7.2,10.325,9.5,8.5375,7.425,5.9,4.625,12.45,7.6,5.05,3.925,2.325,7.95,4.8125
Minnesota,25.925,26.9,31.325,7.1,22.8125,7.4,8.825,3.45,4.6,6.06875,4.3,4,2.1,4.3,3.675,17.25,17.45,15.725,3.1,13.38125,5.625,9.85,8.6,4.45,7.13125,6.875,9.975,3.35,11.65,7.9625
Mississippi,18.9,18.875,36.525,25.7,25,4.725,3.35,11.775,14.45,8.575,0.175,0.725,0.525,0,0.35625,0.825,1.925,0.875,0.4,1.00625,2,2.15,5.95,3.75,3.4625,1.375,5.525,1.75,18.25,6.725
Missouri,8.025,16.7,31.1,48.9,26.18125,7.475,7.225,18.625,45.5,19.70625,2.9,0.575,1.825,0.55,1.4625,1.975,1.6,9.45,2.5,3.88125,3.925,2.675,4.075,17.4,7.01875,4.15,2.475,10.925,13.25,7.7
Montana,26.425,32.975,37.625,35.1,33.03125,9.4,13.825,7.475,2.15,8.2125,6.625,11.1,3.55,1.4,5.66875,4.95,6.25,3.525,13.7,7.10625,3.375,11.6,8.7,0.55,6.05625,6.775,8.675,1.7,0.45,4.4
Nebraska,15.275,9.7,26.65,4.2,13.95625,4.325,0.875,12.15,1,4.5875,2.8,0.35,1.475,0.2,1.20625,3.85,3.85,11.7,3,5.6,1.85,0.975,7.9,4.6,3.83125,2.625,1.425,3.425,2.45,2.48125
New Jersey,26.875,17.175,16.825,15.7,19.14375,5,5.1,4,2.6,4.175,7.7,0.5,1.75,0,2.4875,9.4,2.75,1.8,0.25,3.55,5.5,1.65,1.2,3.6,2.9875,5.25,5.3,0.825,0.45,2.95625
New Mexico,37,58.45,85.675,21.55,50.66875,13.85,14.1,1.05,0.3,7.325,17.675,26.5,44.525,0.15,22.2125,18.125,6.65,5.975,0.65,7.85,14.45,3.05,12.675,4.8,8.74375,1.375,0.325,0.475,0.75,0.73125
New York,22.8,28.275,27.5,33.05,27.90625,7.9,5.05,11,16.1,10.0125,2.875,2.875,6.525,8.4,5.16875,6.7,9.25,5.3,3.95,6.3,6.225,10.125,9.025,12.65,9.50625,4.275,2.775,3.825,4.8,3.91875
North Carolina,32.5,28.275,49.2,19.7,32.41875,11.975,11.775,18.825,6.4,12.24375,0.4,2.125,2.425,0.4,1.3375,8.575,9.85,6.025,1.35,6.45,5.775,9.55,7.9,14,9.30625,6.775,12.1,3.475,4.4,6.6875
North Dakota,15.45,20.1,28.45,13.05,19.2625,5.625,5.85,8.1,3.8,5.84375,2.5,2.475,1.7,3,2.41875,4.525,3.6,3.475,2.35,3.4875,3.725,4.05,3.1,2.4,3.31875,1.55,4.3,0.85,2.15,2.2125
Ohio,23.375,38.7,42.025,39.2,35.825,5.625,8.8,15.1,20.4,12.48125,1.65,0.975,4.65,4.1,2.84375,11.4,6.675,5.9,2.95,6.73125,11.275,6.975,10.475,18.75,11.86875,8.975,5.2,7.35,6.6,7.03125
Oklahoma,21.25,17.275,14.625,42.15,23.825,5.8,2.75,6.7,9.7,6.2375,0.175,0.125,5.3,6.4,3,0.075,0.575,1.1,13.4,3.7875,2.75,0.75,3.225,7.75,3.61875,1.925,10.975,0.7,1.05,3.6625
Oregon,32.975,37.875,42.725,40.95,38.63125,11.25,12.7,13.25,2.1,9.825,5.075,10.175,14.55,4.65,8.6125,5.3,3.75,10,6.65,6.425,3.475,6.7,10.375,9.6,7.5375,1.7,2.275,5.85,0.6,2.60625
Pennsylvania,29.2,27.375,30.125,32.85,29.8875,6.925,4.625,3.625,10.9,6.51875,2.3,1.325,1.3,2.75,1.91875,2.225,3.625,3.75,5.7,3.825,8.125,4.45,2.775,3.75,4.775,2.55,2.45,2.975,5.9,3.46875
South Carolina,28.25,27.85,23.725,21.8,25.40625,10.4,21.2,14.55,9.45,13.9,4.85,6.25,7.575,0.7,4.84375,4.525,16.25,5.7,2.1,7.14375,4.25,11.975,3.475,11.65,7.8375,1.65,2.475,1.225,2.95,2.075
South Dakota,12.45,32.575,19.075,28.85,23.2375,5.575,7.85,3.725,21.15,9.575,1.5,4.05,2.525,3.85,2.98125,4.175,8.45,5.225,2,4.9625,1.725,5.375,9.925,19.95,9.24375,3.275,0.875,2.275,0.05,1.61875
Tennessee,41.1,25.75,36.9,29.6,33.3375,27.525,18.625,19.775,21.65,21.89375,0.575,0.4,1.05,2.65,1.16875,4.8,1.9,3.375,3.2,3.31875,6.225,6.9,7.875,9.7,7.675,3,4.65,8.275,11.1,6.75625
Texas,23.1,31.45,33.125,23.75,27.85625,17.45,11.925,20.925,13.75,16.0125,2.875,3.675,2.675,6.35,3.89375,10.625,11.7,11.1,2.3,8.93125,4.15,4.4,7.1,5,5.1625,5.6,2.925,2.925,12.3,5.9375
Utah,39.175,26.925,35.05,31.1,33.0625,11.45,6.85,2.575,1.85,5.68125,12.4,0.675,2.975,1.05,4.275,12.625,7.6,6.5,0.85,6.89375,4.15,2.05,9.975,0.75,4.23125,0.55,0.825,7.3,1.2,2.46875
Vermont,21.45,13.5,30.675,19.4,21.25625,6.2,12.35,13.625,1.35,8.38125,0.25,10.825,7.3,0.5,4.71875,0.15,10.25,13.85,8.65,8.225,1.975,0.9,3.45,1.9,2.05625,5.15,0.65,1.3,0.45,1.8875
Virginia,25.125,31.575,27.825,24.5,27.25625,13.45,13.875,19.475,15.15,15.4875,1.45,2.475,1.625,1.75,1.825,0.975,2.175,4.05,2.55,2.4375,5.525,4.85,5.125,15.5,7.75,8.925,3.85,4.675,8.9,6.5875
Washington,30.675,37.7,18.375,32.2,29.7375,1.125,6.975,3.45,5.15,4.175,1.225,2.3,1.55,4.3,2.34375,1.825,8.25,2.25,4.75,4.26875,4,5.45,3.175,3.75,4.09375,0.85,1.525,1.85,0.5,1.18125
West Virginia,18.525,26.825,27.675,14.4,21.85625,6.35,3.275,3.525,7.75,5.225,1.275,2.5,1.45,1.45,1.66875,2.325,0.45,0.275,3.15,1.55,7.6,8.5,8.225,17.2,10.38125,3.05,2.6,2.575,6.4,3.65625
Wisconsin,37.7,37.1,36.875,23.45,33.78125,10.725,7.775,15.375,9.95,10.95625,3.625,8.675,13.6,9.5,8.85,14.875,13.1,12.2,14.05,13.55625,10.675,10.35,8.875,16.35,11.5625,10.75,19.55,9.525,2.3,10.53125
Wyoming,23.375,19.475,23.525,5.95,18.08125,8.05,1.925,1.875,0.25,3.025,3.45,1.25,7.625,1.25,3.39375,4.375,2.725,3.275,1.15,2.88125,5.575,1.95,5,2.5,3.75625,1.675,0.6,1.925,2.6,1.7
United States,27.26444444,29.23,32.87,28.48888889,29.46333333,11.13666667,10.17444444,11.08277778,11.48444444,10.96958333,3.201666667,3.760555556,5.083333333,3.192222222,3.809444444,6.821666667,6.426111111,6.995,5.305555556,6.387083333,6.378888889,5.646666667,6.672222222,8.414444444,6.778055556,4.045555556,4.188333333,4.247222222,4.89,4.342777778
