,State,"Winter_2016
Mites","Winter_2016
Parasites","Winter_2016
Diseases","Winter_2016
Pesticides","Winter_2016
Other","Winter_2016
Unknown","Spring_2016
Mites","Spring_2016
Parasites","Spring_2016
Diseases","Spring_2016
Pesticides","Spring_2016
Other","Spring_2016
Unknown","Summer_2016
Mites","Summer_2016
Parasites","Summer_2016
Diseases","Summer_2016
Pesticides","Summer_2016
Other","Summer_2016
Unknown","Fall_2016
Mites","Fall_2016
Parasites","Fall_2016
Diseases","Fall_2016
Pesticides","Fall_2016
Other","Fall_2016
Unknown"
14,Kentucky,23.6,9,0.7,6.3,12.5,8.4,38.9,36.1,1.7,28.4,16,3.8,42.3,25.7,0.9,11.5,7.4,4.5,48.2,22.3,3.3,3,10.3,5.7
15,Louisiana,22.8,14.2,18.6,0.4,12.4,1.9,20.7,1.1,0,0.3,1.2,0.6,39.5,26.1,0,1.6,9.6,0.7,2.9,1,1,0.1,0.7,1.2
16,Maine,3.3,0.4,0.3,0,0.8,1.4,82.7,0,4.3,31.1,2.4,27.9,9.3,0.1,0.2,0,0.6,0,10.7,0.8,0.1,0,5.8,0.1
17,Maryland,26.2,0.1,0,9.5,6.7,0.7,4.2,2.3,2.4,2.9,3.3,0.6,10.8,4.8,0.1,0.7,0.6,1.6,23.8,8.3,4.5,4.6,5.8,0.6
18,Massachusetts,10.1,5.2,0.7,0,3.1,1.1,40.5,10.6,0.3,10.6,2.3,11.9,14.1,8.7,6.8,0.1,3.4,7.9,6.1,2.6,0.4,0.4,0.7,4.2
19,Michigan,5.9,0.2,0,0.5,1.3,11.3,54.1,9.3,1.1,16.5,11.8,1.1,64.1,25.1,0.3,9.1,6.5,2.7,23.9,1.5,0.1,2.7,4,0.6
20,Minnesota,12.1,7,0.2,11.6,8,14.5,20.8,6,6.5,18.2,8.6,7.6,47.2,14.6,6.2,22.4,17.8,8.9,27.5,7.7,3.1,17.6,5,8.9
21,Mississippi,13.8,1.6,0,3.2,0.3,14.5,12.3,2.3,1.2,2.7,1.2,0.1,27.5,3.5,1.6,1.8,5,4.7,21.9,6,0.1,0,2.1,2.8
22,Missouri,20.2,7,0.4,6.2,4.5,7.3,17.2,1.6,0.7,0.1,1.6,1.2,13.3,7.7,1,0.1,3.1,0.7,16.1,12.6,0.2,0,1.5,0.7
23,Montana,0.6,0,0,0.5,0.1,0,30.3,7.1,4.5,3.9,6.9,0.2,41.9,8.8,7,6.9,6.1,1.4,59.1,39.4,32.9,13.7,33.3,33.1
24,Nebraska,1.8,0.4,0.1,0.2,0.8,0.6,6.1,0.1,1,3.8,1.1,3.5,20.4,1.6,0.1,10.2,1.6,0.1,10.5,1.4,0.2,1.2,0.4,1.5
25,New Jersey,8,1.1,0.2,0.6,1.7,12,11.9,0.9,0.2,0,0.2,0.3,20.2,7.1,1.2,8.5,1.3,0.3,28.6,11.3,0.4,1.9,3.4,8.6
26,New Mexico,69,0.4,31.5,0,1.5,0.3,59.1,0.3,12.1,2.5,8.2,0,59.5,55.4,55.2,24.1,1.7,0.7,46.2,0.3,7.2,0,0.8,0.3
27,New York,27.5,5.9,1.5,7.6,9.5,2.6,20.4,3.1,0.9,11.7,4.1,3.8,37.4,9,5.5,5.2,24.7,2.6,27.8,2.2,3.6,12.5,2.2,2.1
28,North Carolina,9.5,2.5,1.9,2.7,4,2.4,51.8,23.5,4.7,33.8,8.3,41.7,27.8,13.4,0.1,2.9,13.4,3,24,7.7,1.8,0,12.5,1.3
29,North Dakota,2.7,0,0,0,0.1,11.7,16.2,3.7,2.1,1.1,3.6,0.2,38,11.8,6.3,12.9,9.9,3.1,23.5,7.9,1.5,0.4,2.6,2.2
30,Ohio,41.6,4.3,0.2,1.3,10.2,5.3,10.6,2.2,0.6,18.3,2.9,1.4,60.6,10.6,2.3,2.9,3.6,3.2,42,18.1,0.8,4.2,11.2,10.9
31,Oklahoma,4.9,1.2,0,0.3,0.9,21,51.8,2.8,0.2,1.2,0.6,0.4,7.5,6.5,0.3,0.7,1.4,21.8,4.9,0.5,0,0.1,0.1,0.7
32,Oregon,20.4,15,5.3,0,2.4,0.3,52.7,14.5,9.9,2.6,16.7,6,52.9,18.5,12.5,9.6,5.1,1.5,25.5,2.8,13,2.8,2.6,1.3
33,Pennsylvania,44.8,4.3,0.3,3.8,5.5,4.6,18.7,3.9,2.4,3.6,4.6,0.9,27.3,7.7,1.6,4.3,2.8,1.2,18.7,2.6,1,2.8,4.9,3.1
34,South Carolina,10.7,2.3,0.6,2,5.1,4.8,51.3,36.6,1,35.8,14.3,1.3,20.4,18.8,0.1,2.6,2.6,1.9,29,27.1,23.3,24.6,25.9,1.9
35,South Dakota,0.2,0,0,0,0.5,0.3,32.4,6.6,1.7,5.1,15.4,0.1,48.8,19.5,14.2,22.7,4.6,2.8,48.9,5.3,0.3,6,1,0.3
36,Tennessee,19.7,7.1,0.2,3.7,10.1,10.9,40.9,22.7,0.1,0.4,9.1,2.6,22.5,23.1,1.3,2.4,6.2,2,19.9,21.6,0,1.1,2.2,3.1
37,Texas,19.4,9.8,2.3,9.4,3.7,2.5,26.1,9,7.5,2.4,7.4,3.7,47.2,11.4,1.7,31.4,3.7,4.1,33.1,17.5,3.2,3.6,2.8,1.4
38,Utah,26.2,7,0.1,0.4,1.6,0.5,23,0.1,1.8,7.3,3.4,0.8,32.1,20.2,0.6,21.8,2.5,1.7,26.4,0.1,0.2,0.9,0.7,0.3
39,Vermont,1.3,0,0.3,0,0.5,1.7,2.6,0.1,0.1,0,0.3,0.1,5.6,8,1.7,0,2.4,0.8,44.5,41.3,41.2,41,0.4,0
40,Virginia,32.7,7.3,0,0.4,5,3.8,23.1,4.2,6.8,6,7.3,2.9,39.1,24.1,1.1,2.3,5.3,3.6,31.4,19.9,2,0,1.8,5.1
41,Washington,23.3,10.5,1.3,1.7,1.9,5.1,40.9,11.4,3.3,3.1,11.1,0.6,65.2,1.4,0.9,19.1,4.3,0.1,21.4,4.6,3.7,9.1,4.5,0.3
42,West Virginia,21.9,2.9,1.1,0.6,6.9,6.5,20.1,0.8,4.2,0,14.7,0.7,41.5,7.1,3.6,0.1,8.1,0.4,23.8,2.3,1.1,1.1,4.3,2.8
43,Wisconsin,24.2,1.6,1.1,13.4,10.8,10.4,23.4,3.7,12.8,12.6,14.9,10.5,31.5,13.6,10.8,15.8,5.1,11.1,69.3,12.2,10,10.6,10.6,46.2
44,Wyoming,0,0.4,0.2,2.5,0.8,1.3,7.1,2.6,1.2,0.6,2.5,0.8,38.6,3.1,0.5,2.6,3.4,0.3,32.2,1.6,3.1,5.2,1.1,0
